user_id;song_id;num_clicks;ml;g;f;mod;artists
29158;55060;64;251.98245996954293;Rock;1;2023-09-22;662
33692;5080;63;260.00105640445656;Pop;0;2023-08-14;4937
31198;25839;24;105.3550203608923;Hip-Hop;1;2023-06-24;6289
33302;87341;36;142.08526712340915;Electronic;0;2023-07-22;1356
34592;47110;74;301.3149939582877;Pop;0;2023-04-28;8373
34903;85212;72;307.5874459171658;Electronic;0;2023-02-23;7724
32673;25595;70;307.303863583287;Rock;1;2023-10-31;4411
30272;42750;13;52.36353691029284;Electronic;1;2023-04-23;306
33653;36293;93;387.7768139205188;Rock;0;2023-01-24;9319
30258;74535;23;90.83085243089319;Electronic;1;2023-11-02;2036
30865;79234;66;268.28228151499155;Hip-Hop;0;2023-05-24;678
28163;51819;47;185.71463608618856;Hip-Hop;0;2023-11-28;2159
37007;13430;90;381.14872458057124;Hip-Hop;0;2023-07-25;350
30676;57749;64;277.4573621622259;Shoegaze;0;2023-01-17;651
35332;48808;37;139.07325019814454;Hip-Hop;0;2023-08-23;6160
36027;7141;89;354.1313964820031;Pop;0;2023-09-03;7842
30714;63227;69;268.532641797578;Electronic;1;2023-05-25;6427
34261;14902;58;228.3004619046419;Hip-Hop;0;2023-04-10;7466
27685;88816;11;43.46779832343109;Pop;1;2023-02-05;9311
32636;28526;53;202.7994542116978;Hip-Hop;0;2023-08-18;4629
32687;20492;50;202.79290465779633;Pop;0;2023-02-01;3063
31087;68817;37;139.3766881889203;Electronic;0;2023-06-28;1150
28679;34981;45;187.94540050223267;Electronic;0;2023-01-06;7125
36681;95526;98;397.7584598738389;Hip-Hop;1;2023-06-03;8393
31367;8079;9;34.089920171935525;Electronic;0;2023-10-16;8696
36285;91655;8;30.21753130602387;Rock;0;2023-10-21;3336
32357;89522;86;357.4501663339425;Hip-Hop;0;2023-06-17;9457
32414;48705;93;358.9094454086402;Pop;1;2023-08-16;3931
27452;16998;51;219.78284035615724;Witch House;0;2023-09-28;3289
29704;79811;50;178.76553885760697;Pop;1;2023-04-12;1767
27397;869;21;79.58103394555991;Pop;0;2023-11-29;8879
32306;26399;72;282.4647169271943;Hip-Hop;0;2023-10-14;621
28873;81579;82;327.4872630029925;Rock;0;2023-09-12;9600
36413;97357;71;293.42091656985593;Hip-Hop;0;2023-02-14;8739
27367;21247;67;265.29435670268526;Math Rock;0;2023-01-07;4123
30028;20562;4;15.743032511065259;Pop;0;2023-01-23;8448
32137;16255;82;316.96218118249146;Electronic;0;2023-01-20;5510
35648;34513;81;311.18184766810083;Pop;0;2023-01-18;8907
33865;89533;28;108.00770677196198;Electronic;0;2023-11-26;9131
27814;94155;82;326.7238883923512;Chiptune;1;2023-01-19;1446
32723;77396;5;18.15375614771053;Rock;0;2023-06-18;4159
28922;57866;68;279.29871751286174;Pop;0;2023-07-30;3063
27814;23581;57;228.79090864163393;Chiptune;0;2023-01-21;9058
35542;70960;42;167.0138935377583;Electroswing;0;2023-06-28;2983
34763;72145;68;287.47381650713066;Pop;0;2023-04-13;9527
33403;42486;71;292.4479610086463;Hip-Hop;1;2023-09-17;1945
